ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,"62 to 64 Years",6054,"2018",57154,5272,"King County, WA","05000US53033","king-county-wa","Native Born",0.02559329524983174
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6054,"2018",123936,6359,"King County, WA","05000US53033","king-county-wa","Native Born",0.055497964098455865
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6054,"2018",296869,14392,"King County, WA","05000US53033","king-county-wa","Native Born",0.13293655680306363
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,"18 to 24 Years",6054,"2018",144287,9363,"King County, WA","05000US53033","king-county-wa","Native Born",0.06461104720076412
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",9,"25 to 34 Years",6054,"2018",288153,12760,"King County, WA","05000US53033","king-county-wa","Native Born",0.1290335725605341
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",12,"35 to 44 Years",6054,"2018",219380,10718,"King County, WA","05000US53033","king-county-wa","Native Born",0.09823734317647212
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,"45 to 54 Years",6054,"2018",202689,9699,"King County, WA","05000US53033","king-county-wa","Native Born",0.09076319104337659
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,"55 to 59 Years",6054,"2018",106592,8107,"King County, WA","05000US53033","king-county-wa","Native Born",0.04773140160391337
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,"75 Years & Over",6054,"2018",90474,5322,"King County, WA","05000US53033","king-county-wa","Native Born",0.040513836204522466
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",21,"60 & 61 Years",6054,"2018",39366,4488,"King County, WA","05000US53033","king-county-wa","Native Born",0.01762791162131918
