DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,1,11,0
03/01/2020,0,4,0
03/02/2020,0,21,0
03/03/2020,2,20,0
03/04/2020,5,22,0
03/05/2020,3,20,0
03/06/2020,8,18,0
03/07/2020,7,15,0
03/08/2020,21,17,0
03/09/2020,58,49,0
03/10/2020,70,63,0
03/11/2020,155,90,1
03/12/2020,357,92,0
03/13/2020,620,156,0
03/14/2020,644,159,2
03/15/2020,1036,189,5
03/16/2020,2122,317,8
03/17/2020,2453,357,8
03/18/2020,2976,470,21
03/19/2020,3708,558,24
03/20/2020,4009,663,47
03/21/2020,2637,700,44
03/22/2020,2580,727,50
03/23/2020,3572,1035,82
03/24/2020,4506,1155,95
03/25/2020,4864,1303,123
03/26/2020,5052,1452,190
03/27/2020,5129,1392,217
03/28/2020,3477,1365,274
03/29/2020,3561,1408,292
03/30/2020,6134,1718,325
03/31/2020,5472,1696,384
04/01/2020,5464,1595,448
04/02/2020,5769,1618,498
04/03/2020,5676,1602,498
04/04/2020,3867,1344,510
04/05/2020,3793,1328,580
04/06/2020,6377,1723,576
04/07/2020,6064,1604,598
04/08/2020,5587,1540,569
04/09/2020,5073,1427,560
04/10/2020,4517,1337,539
04/11/2020,3732,1098,543
04/12/2020,2890,995,573
04/13/2020,3311,1213,571
04/14/2020,4147,1088,511
04/15/2020,3878,981,455
04/16/2020,3530,882,414
04/17/2020,3584,902,384
04/18/2020,2173,665,391
04/19/2020,2346,593,399
04/20/2020,3793,725,364
04/21/2020,3065,661,323
04/22/2020,3462,598,312
04/23/2020,2843,532,332
04/24/2020,2539,550,316
04/25/2020,1595,403,265
04/26/2020,1003,375,246
04/27/2020,2298,444,271
04/28/2020,2730,445,228
04/29/2020,2342,407,240
04/30/2020,2024,345,223
05/01/2020,1889,353,209
05/02/2020,1060,261,192
05/03/2020,785,256,178
05/04/2020,1551,312,159
05/05/2020,1513,283,151
05/06/2020,1402,262,150
05/07/2020,1235,259,141
05/08/2020,1081,257,131
05/09/2020,657,185,100
05/10/2020,458,157,103
05/11/2020,1233,247,103
05/12/2020,1285,211,91
05/13/2020,1336,230,83
05/14/2020,1112,220,70
05/15/2020,875,234,86
05/16/2020,488,164,83
05/17/2020,359,125,77
05/18/2020,900,178,57
05/19/2020,1004,205,54
05/20/2020,1075,171,81
05/21/2020,1072,174,45
05/22/2020,1061,197,64
05/23/2020,465,134,60
05/24/2020,479,120,49
05/25/2020,469,141,49
05/26/2020,1055,153,37
05/27/2020,746,161,49
05/28/2020,639,140,38
05/29/2020,645,170,43
05/30/2020,349,98,54
05/31/2020,217,90,39
06/01/2020,664,124,34
06/02/2020,574,124,38
06/03/2020,515,116,42
06/04/2020,512,90,33
06/05/2020,407,65,28
06/06/2020,248,46,35
06/07/2020,199,48,24
06/08/2020,445,62,41
06/09/2020,422,51,34
06/10/2020,365,45,31
06/11/2020,357,41,21
06/12/2020,411,55,23
06/13/2020,197,28,14
06/14/2020,184,43,24
06/15/2020,378,49,20
06/16/2020,424,50,19
06/17/2020,356,41,20
06/18/2020,371,39,17
06/19/2020,361,41,17
06/20/2020,205,26,19
06/21/2020,176,34,28
06/22/2020,395,44,25
06/23/2020,382,42,27
06/24/2020,382,37,25
06/25/2020,296,37,19
06/26/2020,313,34,20
06/27/2020,209,37,21
06/28/2020,201,31,19
06/29/2020,437,38,25
06/30/2020,446,37,24
07/01/2020,398,29,12
07/02/2020,413,30,25
07/03/2020,230,22,24
07/04/2020,119,22,14
07/05/2020,154,24,17
07/06/2020,436,43,17
07/07/2020,463,41,13
07/08/2020,435,32,20
07/09/2020,390,42,10
07/10/2020,311,35,10
07/11/2020,255,30,13
07/12/2020,222,18,11
07/13/2020,479,46,16
07/14/2020,398,32,10
07/15/2020,436,26,14
07/16/2020,413,31,10
07/17/2020,416,48,14
07/18/2020,217,29,11
07/19/2020,175,32,7
07/20/2020,396,32,11
07/21/2020,338,22,11
07/22/2020,326,31,8
07/23/2020,307,33,9
07/24/2020,303,34,6
07/25/2020,152,30,11
07/26/2020,139,18,8
07/27/2020,320,43,5
07/28/2020,312,35,12
07/29/2020,285,23,5
07/30/2020,268,33,4
07/31/2020,259,27,5
08/01/2020,185,21,8
08/02/2020,133,29,2
08/03/2020,354,30,3
08/04/2020,188,30,6
08/05/2020,314,26,8
08/06/2020,308,32,4
08/07/2020,266,19,5
08/08/2020,152,18,6
08/09/2020,133,24,3
08/10/2020,303,27,6
08/11/2020,260,17,7
08/12/2020,316,25,2
08/13/2020,262,32,3
08/14/2020,272,32,3
08/15/2020,148,20,7
08/16/2020,139,21,6
08/17/2020,316,26,4
08/18/2020,265,33,2
08/19/2020,241,24,3
08/20/2020,184,23,2
08/21/2020,145,26,2
08/22/2020,53,6,3
08/23/2020,38,1,2
08/24/2020,10,0,0
